,link,metro,price_meter,index,desc,price,address,pub_datetime
1293,https://www.cian.ru/rent/flat/226382152/,Домодедовская,Комм.платеживключены(безсчётчиков),1292,"1-комн. кв., 38 м², 10/25 этаж",35000/мес.,"Москва, ЮАО, р-н Орехово-Борисово Южное, м. Домодедовская, Ясеневая улица, 12к1",2020-03-11 07:03:00
1299,https://www.cian.ru/rent/flat/218896729/,Говорово,Комм.платеживключены(безсчётчиков),1298,"1-комн. кв., 39 м², 9/22 этаж",36000/мес.,"Москва, ЗАО, р-н Солнцево, м. Говорово, Волынская улица, 3",2020-03-11 07:57:00
1435,https://www.cian.ru/rent/flat/227527556/,Лианозово,Комм.платеживключены(безсчётчиков),1434,"1-комн. кв., 20 м², 1/4 этаж",23000/мес.,"Москва, СВАО, р-н Лианозово, м. Лианозово, улица Кренкеля, 10С1",2020-03-11 08:01:00
1434,https://www.cian.ru/rent/flat/226936693/,Первомайская,Комм.платеживключены(безсчётчиков),1433,"1-комн. кв., 17 м², 2/5 этаж",23000/мес.,"Москва, ВАО, р-н Восточное Измайлово, м. Первомайская, Нижняя Первомайская улица, 68/7",2020-03-11 10:20:00
1253,https://www.cian.ru/rent/flat/227171724/,Бульвар Адмирала Ушакова,Комм.платеживключены(безсчётчиков),1252,"1-комн. кв., 36 м², 1/14 этаж",32000/мес.,"Москва, ЮЗАО, р-н Южное Бутово, м. Бульвар Адмирала Ушакова, улица Адмирала Лазарева, 16",2020-03-11 10:29:00
1371,https://www.cian.ru/rent/flat/227535968/,Крылатское,Комм.платеживключены(безсчётчиков),1370,"1-комн. кв., 40 м², 10/17 этаж",55000/мес.,"Москва, ЗАО, р-н Крылатское, м. Крылатское, Осенний бульвар, 10К2",2020-03-11 10:59:00
1237,https://www.cian.ru/rent/flat/227537345/,Бунинская аллея,Комм.платеживключены(безсчётчиков),1236,"1-комн. кв., 40 м², 7/14 этаж",30000/мес.,"Москва, НАО (Новомосковский), м. Бунинская аллея, пос. Коммунарка, улица Потаповская Роща, 26к3",2020-03-11 11:09:00
1410,https://www.cian.ru/rent/flat/227538856/,None,Комм.платеживключены(безсчётчиков),1409,"1-комн. кв., 38 м², 8/22 этаж",22000/мес.,"Москва, ЗелАО, р-н Силино, Зеленоград, мкр. 10-й, к1003",2020-03-11 11:21:00
1188,https://www.cian.ru/rent/flat/227009550/,Бунинская аллея,Комм.платеживключены(безсчётчиков),1187,"1-комн. кв., 38 м², 14/16 этаж",25000/мес.,"Москва, НАО (Новомосковский), м. Бунинская аллея, Воскресенское поселение, проезд Чечерский, 128",2020-03-11 11:28:00
1337,https://www.cian.ru/rent/flat/227259956/,Коптево,Комм.платеживключены(безсчётчиков),1336,"1-комн. кв., 46,7 м², 9/17 этаж",43000/мес.,"Москва, САО, р-н Коптево, м. Коптево, Михалковская улица, 1/51",2020-03-11 13:15:00
1447,https://www.cian.ru/rent/flat/226787306/,Некрасовка,Комм.платеживключены(безсчётчиков),1446,"1-комн. кв., 40 м², 9/14 этаж",24000/мес.,"Москва, ЮВАО, р-н Некрасовка, м. Некрасовка, 1-я Вольская улица, 24К1",2020-03-11 13:15:00
1248,https://www.cian.ru/rent/flat/227239266/,Царицыно,Комм.платеживключены(безсчётчиков),1247,"1-комн. кв., 37,7 м², 25/45 этаж",31000/мес.,"Москва, ЮАО, р-н Бирюлево Восточное, м. Царицыно, Михневская улица, 8",2020-03-11 13:19:00
1446,https://www.cian.ru/rent/flat/226049032/,None,Комм.платеживключены(безсчётчиков),1445,"1-комн. кв., 38 м², 3/12 этаж",24000/мес.,"Москва, ЮАО, р-н Бирюлево Восточное, Бирюлевская улица, 49К3",2020-03-11 13:20:00
1211,https://www.cian.ru/rent/flat/176620547/,Зябликово,Комм.платеживключены(безсчётчиков),1210,"1-комн. кв., 39 м², 15/17 этаж",29000/мес.,"Москва, ЮАО, р-н Орехово-Борисово Южное, м. Зябликово, Воронежская улица, 52К1",2020-03-11 13:23:00
1154,https://www.cian.ru/rent/flat/227551664/,Коммунарка,Комм.платеживключены(безсчётчиков),1153,"1-комн. кв., 39 м², 3/17 этаж",38000/мес.,"Москва, НАО (Новомосковский), м. Коммунарка, Сосенское поселение, бульвар Скандинавский, 2к3",2020-03-11 13:38:00
1095,https://www.cian.ru/rent/flat/227551648/,Коптево,Комм.платеживключены(безсчётчиков),1094,"1-комн. кв., 38,9 м², 8/12 этаж",33000/мес.,"Москва, САО, р-н Коптево, м. Коптево, бульвар Матроса Железняка, 30К1",2020-03-11 13:38:00
1186,https://www.cian.ru/rent/flat/224592286/,Котельники,Комм.платеживключены(безсчётчиков),1185,"1-комн. кв., 38 м², 5/14 этаж",25000/мес.,"Москва, ЮВАО, р-н Выхино-Жулебино, м. Котельники, Привольная улица, 77",2020-03-11 14:50:00
1433,https://www.cian.ru/rent/flat/226043706/,Рассказовка,Комм.платеживключены(безсчётчиков),1432,"1-комн. кв., 33 м², 7/9 этаж",23000/мес.,"Москва, НАО (Новомосковский), м. Рассказовка, Кокошкино дп, улица Дзержинского, 2",2020-03-11 15:54:00
1409,https://www.cian.ru/rent/flat/227086663/,None,Комм.платеживключены(безсчётчиков),1408,"1-комн. кв., 40 м², 8/17 этаж",22000/мес.,"Москва, ЗелАО, р-н Крюково, Зеленоград, мкр. 20-й, к2024",2020-03-11 17:56:00
1346,https://www.cian.ru/rent/flat/174409430/,Кунцевская,Комм.платеживключены(безсчётчиков),1345,"1-комн. кв., 40 м², 15/17 этаж",45000/мес.,"Москва, ЗАО, р-н Кунцево, м. Кунцевская, Рублевское шоссе, 14К3",2020-03-11 18:18:00
1331,https://www.cian.ru/rent/flat/227288801/,Красносельская,Комм.платеживключены(безсчётчиков),1330,"1-комн. кв., 36 м², 2/14 этаж",40000/мес.,"Москва, ЦАО, р-н Красносельский, м. Красносельская, Малая Красносельская улица, 12",2020-03-11 19:08:00
1134,https://www.cian.ru/rent/flat/227017434/,Улица Горчакова,Комм.платеживключены(безсчётчиков),1133,"1-комн. кв., 38 м², 12/14 этаж",29000/мес.,"Москва, ЮЗАО, р-н Южное Бутово, м. Улица Горчакова, улица Горчакова, 1К1",2020-03-11 20:14:00
1432,https://www.cian.ru/rent/flat/223108030/,Марк,Комм.платеживключены(безсчётчиков),1431,"1-комн. кв., 35 м², 2/9 этаж",23000/мес.,"Москва, САО, р-н Дмитровский, м. Марк, Дмитровское шоссе, 155К2",2020-03-11 20:15:00
1445,https://www.cian.ru/rent/flat/160216880/,Теплый Стан,Комм.платеживключены(безсчётчиков),1444,"1-комн. кв., 34 м², 14/16 этаж",24000/мес.,"Москва, ТАО (Троицкий), м. Теплый Стан, Троицк, В мкр, 54",2020-03-11 22:40:00
1373,https://www.cian.ru/rent/flat/227593508/,Улица 1905 года,Комм.платеживключены(безсчётчиков),1372,"1-комн. кв., 42 м², 4/8 этаж",57000/мес.,"Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, улица Пресненский Вал, 4/29",2020-03-11 22:41:00
1249,https://www.cian.ru/rent/flat/164497958/,None,Комм.платеживключены(безсчётчиков),1248,"1-комн. кв., 45 м², 3/17 этаж",31000/мес.,"Москва, НАО (Новомосковский), Московский, мкр. Юго-Западный, 3-й мкр, 4",2020-03-12 00:05:00
1263,https://www.cian.ru/rent/flat/214808756/,Щелковская,Комм.платеживключены(безсчётчиков),1262,"1-комн. кв., 38 м², 5/9 этаж",33000/мес.,"Москва, ВАО, р-н Гольяново, м. Щелковская, Щелковское шоссе, 87К1",2020-03-12 08:30:00
1358,https://www.cian.ru/rent/flat/227031012/,Кутузовская,Комм.платеживключены(безсчётчиков),1357,"1-комн. кв., 40 м², 11/12 этаж",50000/мес.,"Москва, ЗАО, р-н Раменки, м. Кутузовская, 2-й Сетуньский проезд, 13",2020-03-12 08:32:00
1292,https://www.cian.ru/rent/flat/226935144/,Юго-Западная,Комм.платеживключены(безсчётчиков),1291,"1-комн. кв., 37 м², 8/16 этаж",35000/мес.,"Москва, ЗАО, р-н Тропарево-Никулино, м. Юго-Западная, проспект Вернадского, 105К2",2020-03-12 08:57:00
1317,https://www.cian.ru/rent/flat/227385781/,Ломоносовский проспект,Комм.платеживключены(безсчётчиков),1316,"1-комн. кв., 32 м², 1/9 этаж",38000/мес.,"Москва, ЗАО, р-н Раменки, м. Ломоносовский проспект, Мосфильмовская улица, 24",2020-03-12 08:57:00
1236,https://www.cian.ru/rent/flat/227150429/,Южная,Комм.платеживключены(безсчётчиков),1235,"1-комн. кв., 33 м², 2/9 этаж",30000/мес.,"Москва, ЮАО, р-н Чертаново Северное, м. Южная, Чертановская улица, 13",2020-03-12 08:57:00
1094,https://www.cian.ru/rent/flat/226746075/,Комсомольская,Комм.платеживключены(безсчётчиков),1093,"1-комн. кв., 40 м², 6/6 этаж",60000/мес.,"Москва, ЦАО, р-н Красносельский, м. Комсомольская, Новорязанская улица, 2/7",2020-03-12 09:10:00
1086,https://www.cian.ru/rent/flat/227610528/,Люблино,Комм.платеживключены(безсчётчиков),1085,"1-комн. кв., 35 м², 8/14 этаж",30000/мес.,"Москва, ЮВАО, р-н Люблино, м. Люблино, улица Головачева, 27",2020-03-12 09:26:00
1408,https://www.cian.ru/rent/flat/227611441/,None,Комм.платеживключены(безсчётчиков),1407,"1-комн. кв., 27 м², 7/17 этаж",22000/мес.,"Москва, ЗелАО, р-н Крюково, Зеленоград, мкр. 17-й, проспект Георгиевский, 33к5",2020-03-12 09:49:00
1185,https://www.cian.ru/rent/flat/227388239/,Шоссе Энтузиастов,Комм.платеживключены(безсчётчиков),1184,"1-комн. кв., 32 м², 1/5 этаж",25000/мес.,"Москва, ВАО, р-н Перово, м. Шоссе Энтузиастов, улица Плеханова, 16К2",2020-03-12 10:05:00
1330,https://www.cian.ru/rent/flat/227612172/,Электрозаводская,Комм.платеживключены(безсчётчиков),1329,"1-комн. кв., 36 м², 1/12 этаж",40000/мес.,"Москва, ЦАО, р-н Басманный, м. Электрозаводская, Гольяновская улица, 1Б",2020-03-12 10:07:00
1391,https://www.cian.ru/rent/flat/226563219/,Улица 1905 года,Комм.платеживключены(безсчётчиков),1390,"1-комн. кв., 42 м², 11/44 этаж",84000/мес.,"Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, Ходынская улица, 2",2020-03-12 10:16:00
1125,https://www.cian.ru/rent/flat/226827904/,None,Комм.платеживключены(безсчётчиков),1124,"1-комн. кв., 30 м², 4/12 этаж",25000/мес.,"Москва, ЮАО, р-н Бирюлево Восточное, Загорьевский проезд, 3К2",2020-03-12 10:28:00
1198,https://www.cian.ru/rent/flat/227613894/,Свиблово,Комм.платеживключены(безсчётчиков),1197,"1-комн. кв., 31 м², 3/5 этаж",27999/мес.,"Москва, СВАО, р-н Свиблово, м. Свиблово, проезд Нансена, 12К1",2020-03-12 10:31:00
1407,https://www.cian.ru/rent/flat/203055432/,None,Комм.платеживключены(безсчётчиков),1406,"1-комн. кв., 24 м², 5/14 этаж",22000/мес.,"Москва, ЗелАО, р-н Савёлки, Зеленоград, мкр. 5-й, к508",2020-03-12 10:32:00
1262,https://www.cian.ru/rent/flat/227359540/,None,Комм.платеживключены(безсчётчиков),1261,"1-комн. кв., 39 м², 8/16 этаж",33000/мес.,"Москва, ЗелАО, р-н Крюково, Зеленоград, мкр. 18-й, к1823",2020-03-12 11:33:00
